L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
L,S,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
L,L,O,O,O,O,L,L,O,O,O,O,L,L,O,O,O,O,L,L,O,O,O,O,L
L,L,O,O,O,O,L,L,O,O,O,O,L,L,O,O,O,O,L,L,O,O,O,O,L
L,L,O,O,O,O,L,L,O,O,O,O,L,L,O,O,O,O,L,L,O,O,O,O,L
L,L,O,O,O,O,L,L,O,O,O,O,L,L,O,O,O,O,L,L,O,O,O,O,L
L,L,O,O,O,O,L,L,O,O,O,O,L,L,O,O,O,O,L,L,O,O,O,O,L
L,L,O,O,O,O,L,L,O,O,O,O,L,L,O,O,O,O,L,L,O,O,O,O,L
L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
L,L,O,O,O,O,L,L,O,O,O,O,L,L,O,O,O,O,L,L,O,O,O,O,L
L,L,O,O,O,O,L,L,O,O,O,O,L,L,O,O,O,O,L,L,O,O,O,O,L
L,L,O,O,O,O,L,L,O,O,O,O,L,L,O,O,O,O,L,L,O,O,O,O,L
L,L,O,O,O,O,L,L,O,O,O,O,L,L,O,O,O,O,L,L,O,O,O,O,L
L,L,O,O,O,O,L,L,O,O,O,O,L,L,O,O,O,O,L,L,O,O,O,O,L
L,L,O,O,O,O,L,L,O,O,O,O,L,L,O,O,O,O,L,L,O,O,O,O,L
L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
